product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,104.12,0.9958,39.99,0.0078,0.9892,0.9999,0.971,0.854
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,104.12,0.9958,39.95,0.0078,0.9899,0.9999,0.903,0.857
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,104.12,0.9932,37.35,0.0122,0.9532,0.9999,0.9815,0.8496
sunglasses_black,eyewear,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,104.12,0.9943,38.7,0.0091,0.9893,0.9677,0.9697,0.8545
sunglasses_black,eyewear,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,104.12,0.9943,38.68,0.0091,0.9903,0.9677,0.8996,0.8571
sunglasses_black,eyewear,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,104.12,0.9915,36.45,0.0136,0.9525,0.9674,0.9813,0.8498
sunglasses_black,eyewear,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,104.12,0.9931,37.67,0.0101,0.9886,0.9493,0.9679,0.8547
sunglasses_black,eyewear,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,104.12,0.9931,37.66,0.0101,0.9891,0.9493,0.896,0.8571
sunglasses_black,eyewear,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,104.12,0.9901,35.73,0.0145,0.9475,0.949,0.9809,0.8494
sunglasses_black,eyewear,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,104.12,0.9913,36.47,0.0114,0.9872,0.9229,0.9668,0.8541
sunglasses_black,eyewear,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,104.12,0.9914,36.46,0.0114,0.9879,0.923,0.8932,0.8569
sunglasses_black,eyewear,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,104.12,0.9881,34.85,0.0157,0.9425,0.9226,0.9807,0.8497
sunglasses_black,eyewear,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,104.12,0.989,35.29,0.013,0.984,0.8594,0.9658,0.8544
sunglasses_black,eyewear,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,104.12,0.989,35.29,0.013,0.9861,0.8594,0.8904,0.8569
sunglasses_black,eyewear,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,104.12,0.9855,33.95,0.0171,0.9394,0.8591,0.9805,0.8497
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,145.12,0.9909,35.8,0.0118,0.9182,0.9996,0.8591,0.9602
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,145.12,0.9912,36.17,0.0111,0.9212,0.9996,0.5423,0.952
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,145.12,0.9926,37.83,0.0084,0.9276,0.9997,0.7545,0.9494
sunglasses_blue,eyewear,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,145.12,0.9903,33.65,0.012,0.9163,0.8764,0.8778,0.958
sunglasses_blue,eyewear,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,145.12,0.9907,33.85,0.0113,0.9183,0.8764,0.5873,0.9524
sunglasses_blue,eyewear,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,145.12,0.992,34.68,0.0087,0.9252,0.8765,0.7676,0.9486
sunglasses_blue,eyewear,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,145.12,0.9891,30.5,0.0127,0.9143,0.814,0.8905,0.9556
sunglasses_blue,eyewear,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,145.12,0.9895,30.59,0.012,0.9158,0.814,0.6147,0.9527
sunglasses_blue,eyewear,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,145.12,0.9909,30.94,0.0094,0.9218,0.8143,0.7777,0.9486
sunglasses_blue,eyewear,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,145.12,0.9875,27.84,0.0139,0.9101,0.7033,0.8994,0.9522
sunglasses_blue,eyewear,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,145.12,0.9879,27.89,0.0132,0.914,0.7034,0.635,0.9529
sunglasses_blue,eyewear,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,145.12,0.9892,28.07,0.0107,0.9203,0.7039,0.7844,0.949
sunglasses_blue,eyewear,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,145.12,0.9852,25.71,0.0159,0.9086,0.5237,0.9047,0.9501
sunglasses_blue,eyewear,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,145.12,0.9856,25.74,0.0152,0.9116,0.5237,0.6494,0.9529
sunglasses_blue,eyewear,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,145.12,0.9869,25.84,0.0129,0.9168,0.5242,0.7898,0.9493
headphones_black,electronics,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,116.89,0.9907,35.73,0.0374,0.9266,0.9966,0.0449,0.9104
headphones_black,electronics,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,116.89,0.991,36.12,0.0372,0.9312,0.9966,0.1253,0.9023
headphones_black,electronics,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,116.89,0.9911,36.12,0.0365,0.9306,0.9968,0.1404,0.902
headphones_black,electronics,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,116.89,0.988,34.83,0.038,0.9258,0.9955,0.0388,0.9097
headphones_black,electronics,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,116.89,0.9884,35.21,0.0379,0.931,0.9958,0.1153,0.9007
headphones_black,electronics,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,116.89,0.9885,35.19,0.0371,0.9294,0.996,0.1297,0.9003
headphones_black,electronics,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,116.89,0.9871,33.86,0.0393,0.9244,0.9947,0.0328,0.9093
headphones_black,electronics,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,116.89,0.9875,34.19,0.0391,0.9296,0.9955,0.1054,0.8999
headphones_black,electronics,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,116.89,0.9877,34.18,0.0382,0.9278,0.9956,0.1195,0.8986
headphones_black,electronics,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,116.89,0.986,32.81,0.0406,0.9233,0.9927,0.0276,0.9089
headphones_black,electronics,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,116.89,0.9865,33.1,0.0403,0.9282,0.994,0.0963,0.8988
headphones_black,electronics,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,116.89,0.9866,33.08,0.0395,0.9268,0.9941,0.1099,0.8972
headphones_black,electronics,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,116.89,0.9845,31.75,0.042,0.9218,0.9903,0.0229,0.9084
headphones_black,electronics,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,116.89,0.9851,31.99,0.0416,0.9268,0.9917,0.088,0.8978
headphones_black,electronics,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,116.89,0.9852,31.98,0.0407,0.9256,0.992,0.1009,0.896
headphones_grey,electronics,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,86.7,0.9869,30.27,0.0271,0.9352,0.9951,0.9982,0.918
headphones_grey,electronics,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,86.7,0.987,30.28,0.0271,0.9352,0.9951,0.9959,0.9242
headphones_grey,electronics,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,86.7,0.9869,30.23,0.0275,0.9335,0.995,0.7457,0.9174
headphones_grey,electronics,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,86.7,0.9854,29.5,0.0285,0.9322,0.9912,0.9895,0.9188
headphones_grey,electronics,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,86.7,0.9854,29.52,0.0286,0.9335,0.9913,1.0,0.9226
headphones_grey,electronics,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,86.7,0.9853,29.47,0.0291,0.9321,0.9912,0.7972,0.9166
headphones_grey,electronics,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,86.7,0.9841,28.74,0.03,0.9283,0.9852,0.9746,0.9177
headphones_grey,electronics,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,86.7,0.9841,28.75,0.03,0.9288,0.9853,0.9968,0.9207
headphones_grey,electronics,white,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,86.7,0.984,28.71,0.0305,0.928,0.9852,0.8415,0.9156
headphones_grey,electronics,white,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,86.7,0.9826,27.91,0.0316,0.9235,0.9789,0.9542,0.9167
headphones_grey,electronics,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,86.7,0.9826,27.92,0.0315,0.9241,0.9789,0.9875,0.9212
headphones_grey,electronics,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,86.7,0.9825,27.89,0.032,0.9237,0.9787,0.8798,0.9146
headphones_grey,electronics,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,86.7,0.9808,27.06,0.033,0.9178,0.9694,0.9319,0.9158
headphones_grey,electronics,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,86.7,0.9808,27.08,0.033,0.9192,0.9695,0.9741,0.9197
headphones_grey,electronics,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,86.7,0.9807,27.04,0.0336,0.9182,0.9693,0.9098,0.9123
mug_white,homeware,white,42,procedural,none,0.0,full,square,procedural,rembg,0.4678,13.61,0.9982,42.06,0.0051,0.993,1.0,0.8512,0.9441
mug_white,homeware,white,42,procedural,none,0.0,full,story,procedural,rembg,0.4678,13.61,0.9982,43.68,0.0045,0.9779,1.0,0.9456,0.9416
mug_white,homeware,white,42,procedural,none,0.0,full,banner,procedural,rembg,0.4678,13.61,0.9977,40.3,0.0083,0.9969,0.9999,0.9821,0.9451
mug_white,homeware,white,42,procedural,graded,0.25,full,square,procedural,rembg,0.4678,13.61,0.9975,34.5,0.0066,0.9896,0.9264,0.856,0.9465
mug_white,homeware,white,42,procedural,graded,0.25,full,story,procedural,rembg,0.4678,13.61,0.9977,34.9,0.0057,0.9722,0.9264,0.9488,0.944
mug_white,homeware,white,42,procedural,graded,0.25,full,banner,procedural,rembg,0.4678,13.61,0.9971,33.94,0.0097,0.9963,0.9263,0.984,0.9458
mug_white,homeware,white,42,procedural,graded,0.5,full,square,procedural,rembg,0.4678,13.61,0.9964,29.71,0.0095,0.9848,0.8004,0.8598,0.945
mug_white,homeware,white,42,procedural,graded,0.5,full,story,procedural,rembg,0.4678,13.61,0.9966,29.88,0.0084,0.9658,0.8007,0.9513,0.9414
mug_white,homeware,white,42,procedural,graded,0.5,full,banner,procedural,rembg,0.4678,13.61,0.9961,29.48,0.0123,0.994,0.7997,0.9855,0.9434
mug_white,homeware,white,42,procedural,graded,0.75,full,square,procedural,rembg,0.4678,13.61,0.9947,26.59,0.0141,0.9794,0.6686,0.8639,0.9424
mug_white,homeware,white,42,procedural,graded,0.75,full,story,procedural,rembg,0.4678,13.61,0.9949,26.69,0.013,0.9587,0.669,0.9537,0.9356
mug_white,homeware,white,42,procedural,graded,0.75,full,banner,procedural,rembg,0.4678,13.61,0.9944,26.46,0.0167,0.9913,0.6682,0.987,0.9409
mug_white,homeware,white,42,procedural,graded,1.0,full,square,procedural,rembg,0.4678,13.61,0.9924,24.27,0.021,0.9737,0.5068,0.8677,0.9399
mug_white,homeware,white,42,procedural,graded,1.0,full,story,procedural,rembg,0.4678,13.61,0.9925,24.35,0.0199,0.9506,0.5074,0.9561,0.9339
mug_white,homeware,white,42,procedural,graded,1.0,full,banner,procedural,rembg,0.4678,13.61,0.9921,24.19,0.0233,0.9883,0.5061,0.9883,0.9416
camera_dslr,electronics,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,143.52,0.9957,39.7,0.0083,0.9861,1.0,0.9917,0.9103
camera_dslr,electronics,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,143.52,0.996,40.11,0.0076,0.9876,1.0,0.8333,0.9272
camera_dslr,electronics,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,143.52,0.9953,39.15,0.0092,0.9847,1.0,0.9552,0.918
camera_dslr,electronics,white,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,143.52,0.9935,37.8,0.009,0.9862,0.9965,0.9904,0.911
camera_dslr,electronics,white,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,143.52,0.9938,38.09,0.0082,0.9876,0.9966,0.8386,0.9282
camera_dslr,electronics,white,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,143.52,0.9931,37.41,0.0098,0.9847,0.9965,0.9581,0.9189
camera_dslr,electronics,white,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,143.52,0.9924,35.87,0.0095,0.9857,0.9899,0.9891,0.9121
camera_dslr,electronics,white,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,143.52,0.9928,36.07,0.0087,0.9875,0.99,0.8438,0.9258
