product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,104.12,0.9958,39.99,0.0078,0.9892,0.9999,0.1348,0.854
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,104.12,0.9958,39.95,0.0078,0.9899,0.9999,0.2349,0.857
sunglasses_black,eyewear,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,104.12,0.9932,37.35,0.0122,0.9532,0.9999,0.085,0.8496
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_shadow,square,procedural,rembg,1.0,104.12,0.9958,39.99,0.0078,0.9891,0.9999,0.1674,0.8537
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_shadow,story,procedural,rembg,1.0,104.12,0.9958,39.95,0.0078,0.9899,0.9999,0.2942,0.8569
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_shadow,banner,procedural,rembg,1.0,104.12,0.9932,37.36,0.0122,0.9558,0.9999,0.0987,0.8498
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_rim,square,procedural,rembg,1.0,104.12,0.9958,39.99,0.008,0.9911,0.9999,0.1348,0.854
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_rim,story,procedural,rembg,1.0,104.12,0.9958,39.95,0.008,0.992,0.9999,0.2349,0.8571
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_rim,banner,procedural,rembg,1.0,104.12,0.9934,37.35,0.0123,0.9528,0.9999,0.085,0.8497
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_brand,square,procedural,rembg,1.0,104.12,0.9936,37.27,0.0049,0.9465,0.9997,0.0085,0.9441
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_brand,story,procedural,rembg,1.0,104.12,0.9936,37.24,0.005,0.9468,0.9997,0.0085,0.9414
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_brand,banner,procedural,rembg,1.0,104.12,0.9942,37.96,0.0041,0.9509,0.9998,0.1095,0.9371
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_coord,square,procedural,rembg,1.0,104.12,0.9957,39.86,0.0078,0.9912,0.9999,0.0021,0.8547
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_coord,story,procedural,rembg,1.0,104.12,0.9958,39.98,0.0076,0.992,0.9999,0.0,0.8571
sunglasses_black,eyewear,white,42,procedural,none,0.0,no_coord,banner,procedural,rembg,1.0,104.12,0.9953,39.23,0.0087,0.988,0.9999,0.0009,0.8549
sunglasses_black,eyewear,white,42,procedural,none,0.0,naive,square,procedural,rembg,1.0,104.12,0.994,37.16,0.0053,0.9431,0.9997,0.0114,0.9404
